11,華富邨,22.2526117,114.1369139,Southern
12,華富邨華美樓,22.2526117,114.1369139,Southern
13,中環雲咸街,22.2805197,114.1559823,Central & Western
15,海輝道8號,22.319137,114.155542,Yau Tsim Mong
16,粉嶺,22.4916829,114.1414685,North
17,高山道公園,22.3139376,114.1860014,Kowloon City
18,將軍澳新寶城商場,22.313834,114.266345,Sai Kung
19,帝景峰,22.344245,114.164404,Sham Shui Po
20,戈林,22.371086,114.173154,Sha Tin
21,旺區,22.3213457,114.1725485,Yau Tsim Mong
22,香港島,22.2587586,114.1910696,Wan Chai
24,青洲,22.2850246,114.1134647,Central & Western
25,小青洲,22.2850246,114.1134647,Central & Western
26,摩星嶺,22.2772566,114.1227427,Central & Western
27,龍虎山,28.068044,116.997973,out_of_hk
28,西環,22.2876838,114.1365037,Central & Western
9,東區法院,22.2843535,114.224114,Eastern
30,石塘咀,22.2863914,114.1338924,Central & Western
31,西營盤,22.2875634,114.1417059,Central & Western
32,上環,22.2863943,114.1491375,Central & Western
33,中區,24.1402601,120.6818181,out_of_hk
34,中環,22.2799907,114.1587983,Central & Western
36,金鐘,22.2796357,114.1654865,Central & Western
37,天馬艦,22.2815974,114.1657652,Central & Western
38,半山區,22.2811673,114.142449,Central & Western
40,太平山,22.2849425,114.1472796,Central & Western
41,灣仔區,22.2762468,114.1825781,Wan Chai
43,銅鑼灣,22.2859787,114.1914919,Wan Chai
44,銅鑼灣西,22.2785485,114.1849545,Wan Chai
45,跑馬地,22.268352,114.1865135,Wan Chai
46,大坑,22.2751881,114.1937244,Wan Chai
47,東角,22.2807783,114.1848074,Wan Chai
48,加路連山,22.2759517,114.1866651,Wan Chai
49,禮頓山,22.275536,114.183745,Wan Chai
50,渣甸山,22.2666667,114.2,Eastern
51,灣仔峽,22.2707594,114.1719221,Wan Chai
53,鵝頸,22.2784564,114.181835,Wan Chai
54,摩利臣山,22.2761345,114.1788626,Wan Chai
55,灣仔北,22.282814,114.1783839,Wan Chai
56,修頓,22.2766229,114.1728362,Wan Chai
57,東區,24.7920604,120.9933678,out_of_hk
59,北角,22.2884683,114.192803,Eastern
60,鰂魚涌,22.2827206,114.2123009,Eastern
61,筲箕灣,22.278746,114.2286476,Eastern
62,柴灣,22.2678103,114.2360778,Eastern
63,天後,23.7175664,120.7468271,out_of_hk
64,炮台山,22.2879159,114.194839,Eastern
65,北角半山,22.289081,114.195032,Eastern
66,七姊妹,22.2914474,114.2056135,Eastern
67,寶馬山,22.284617,114.1995095,Eastern
68,太古城,22.2868652,114.2192604,Eastern
69,康山,22.285073,114.215412,Eastern
70,西灣河,22.2824738,114.2227035,Eastern
71,蘇豪東,22.28633,114.224093,Eastern
72,愛秩序灣,22.2828193,114.2249325,Eastern
73,鯉魚門,37.704733,-121.8761146,out_of_hk
74,阿公岩,22.2814114,114.2338487,Eastern
75,杏花邨,22.2780563,114.240079,Eastern
76,小西灣,22.2615148,114.2494516,Eastern
78,南區,22.2432164,114.1974398,Southern
79,薄扶林,22.2679201,114.1290719,Southern
81,瀑布灣,22.2528032,114.1275866,Southern
82,雞籠灣,22.2501217,114.1402195,Southern
83,田灣,22.2503496,114.1476512,Southern
84,香港仔,22.2483068,114.1524398,Southern
85,石排灣,22.2497214,114.1580025,Southern
86,黃竹坑,22.2459198,114.1664957,Southern
87,海洋公園,22.2466607,114.1757239,Southern
88,南朗山,22.2430067,114.1721746,Southern
90,布廠灣,22.242256,114.1658581,Southern
91,大樹灣,22.2323963,114.1742182,Southern
92,鴨脷洲,22.2418581,114.1528532,Southern
